row,title,doi,status,detail
49,A genome-wide atlas of co-essential modules assigns function to uncharacterized genes,https://doi.org/10.1038/s41588-021-00840-z,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1038_s41588-021-00840-z.txt
50,A global genetic interaction map of a human cell reveals conserved principles of genetic networks,https://pubmed.ncbi.nlm.nih.gov/40631273/,invalid_doi,DOI does not resolve via Crossref
51,A global genetic interaction network maps a wiring diagram of cellular function,https://doi.org/10.1126/science.aaf1420,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1126_science.aaf1420.txt
52,A graph regularized generalized matrix factorization model for predicting links in biomedical bipartite networks,https://doi.org/10.1093/bioinformatics/btaa157,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1093_bioinformatics_btaa157.txt
53,A Load Driver Device for Engineering Modularity in Biological Networks,https://doi.org/10.1038/nbt.3044,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1038_nbt.3044.txt
54,A local regulatory T cell feedback circuit maintains immune homeostasis by pruning self-activated T cells,https://doi.org/10.1016/j.cell.2021.05.028,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1016_j.cell.2021.05.028.txt
55,A Maternal Functional Module in the Mammalian Oocyte-To-Embryo Transition.,https://doi.org/10.1016/j.molmed.2017.09.004,no_content_found,DOI resolves but no OA PDF or abstract was found
56,"A mechanistic model of connector hubs, modularity and cognition",https://doi.org/10.1038/s41562-018-0420-6,paper_downloaded,already present
57,A meta-analysis of Boolean network models reveals design principles of gene regulatory networks,https://doi.org/10.1126/sciadv.adj0822,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1126_sciadv.adj0822.txt
58,A module of negative feedback regulators defines growth factor signaling,https://doi.org/10.1038/ng1987,no_content_found,DOI resolves but no OA PDF or abstract was found
59,A multi-objective ant colony optimization algorithm for community detection in complex networks,https://doi.org/10.1007/s12652-018-1159-7,no_content_found,DOI resolves but no OA PDF or abstract was found
60,A Network Neuroscience of Human Learning: Potential To Inform Quantitative Theories of Brain and Behavior,https://doi.org/10.1016/j.tics.2017.01.010,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1016_j.tics.2017.01.010.txt
61,A network of RNA-binding proteins controls translation efficiency to activate anaerobic metabolism,https://doi.org/10.1038/s41467-020-16504-1,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.1038_s41467-020-16504-1.pdf
62,A network pharmacology approach to explore the potential targets underlying the effect of sinomenine on rheumatoid arthritis.,https://doi.org/10.1016/j.intimp.2020.106201,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1016_j.intimp.2020.106201.txt
63,A new phylogenetic test for comparing multiple high‐dimensional evolutionary rates suggests interplay of evolutionary rates and modularity in lanternfishes (Myctophiformes; Myctophidae),https://doi.org/10.1111/evo.12743,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1111_evo.12743.txt
64,A parallel adder coordinates mycobacterial cell cycle progression and cell size homeostasis in the context of asymmetric growth and organization,https://doi.org/10.1016/j.cub.2017.09.046,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1016_j.cub.2017.09.046.txt
65,"A Path Toward Explainable AI and Autonomous Adaptive Intelligence: Deep Learning, Adaptive Resonance, and Models of Perception, Emotion, and Action",https://doi.org/10.3389/fnbot.2020.00036,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.3389_fnbot.2020.00036.pdf
66,"A Pooled shRNA Screen Identifies Rbm15, Spen, and Wtap as Factors Required for Xist RNA-Mediated Silencing",https://doi.org/10.1016/j.celrep.2015.06.053,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1016_j.celrep.2015.06.053.txt
67,A quantitative genome-wide RNAi screen in C. elegans for antifungal innate immunity genes,https://doi.org/10.1186/s12915-016-0256-3,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.1186_s12915-016-0256-3.pdf
68,A quantitative map of human Condensins provides new insights into mitotic chromosome architecture,https://doi.org/10.1083/jcb.201801048,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1083_jcb.201801048.txt
69,A quasi-integral controller for adaptation of genetic modules to variable ribosome demand,https://doi.org/10.1038/s41467-018-07899-z,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.1038_s41467-018-07899-z.pdf
70,A rapid and accurate approach for prediction of interactomes from co-elution data (PrInCE),https://doi.org/10.1186/s12859-017-1865-8,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.1186_s12859-017-1865-8.pdf
71,"A Reappraisal of How to Build Modular, Reusable Models of Biological Systems",https://doi.org/10.1371/journal.pcbi.1003849,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.1371_journal.pcbi.1003849.pdf
72,A reference map of the human binary protein interactome,https://doi.org/10.1038/s41586-020-2188-x,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.1038_s41586-020-2188-x.pdf
73,A Retrospective on eIF2A—and Not the Alpha Subunit of eIF2,https://doi.org/10.3390/ijms21062054,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.3390_ijms21062054.txt
74,A review of modularization techniques in artificial neural networks,https://doi.org/10.1007/s10462-019-09706-7,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.1007_s10462-019-09706-7.pdf
75,A Review of Pathway-Based Analysis Tools That Visualize Genetic Variants,https://doi.org/10.3389/fgene.2017.00174,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.3389_fgene.2017.00174.pdf
76,"A review on locomotion robophysics: the study of movement at the intersection of robotics, soft matter and dynamical systems",https://doi.org/10.1088/0034-4885/79/11/110001,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.1088_0034-4885_79_11_110001.pdf
77,A spectrum of modularity in multi‐functional gene circuits,https://doi.org/10.15252/msb.20167347,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.15252_msb.20167347.txt
78,A spectrum of routing strategies for brain networks,https://doi.org/10.1371/journal.pcbi.1006833,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.1371_journal.pcbi.1006833.pdf
79,A Survey on Subgraph Counting,https://doi.org/10.1145/3433652,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1145_3433652.txt
80,A synergistic core for human brain evolution and cognition,https://doi.org/10.1101/2020.09.22.308981,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1101_2020.09.22.308981.txt
81,A Synthetic Mammalian Therapeutic Gene Circuit for Sensing and Suppressing Inflammation.,https://doi.org/10.1016/j.ymthe.2016.10.005,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1016_j.ymthe.2016.10.005.txt
82,A systematic comparative evaluation of biclustering techniques,https://doi.org/10.1186/s12859-017-1487-1,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.1186_s12859-017-1487-1.pdf
83,A Topology Potential-Based Method for Identifying Essential Proteins from PPI Networks,https://doi.org/10.1109/TCBB.2014.2361350,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1109_TCBB.2014.2361350.txt
84,A transcriptomic axis predicts state modulation of cortical interneurons,https://doi.org/10.1038/s41586-022-04915-7,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.1038_s41586-022-04915-7.pdf
85,A transcriptomic taxonomy of Drosophila circadian neurons around the clock,https://doi.org/10.7554/eLife.63056,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.7554_eLife.63056.txt
86,A universal biomolecular integral feedback controller for robust perfect adaptation,https://doi.org/10.1038/s41586-019-1321-1,no_content_found,DOI resolves but no OA PDF or abstract was found
87,A walk through the SMC cycle: From catching DNAs to shaping the genome.,https://doi.org/10.1016/j.molcel.2022.04.006,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1016_j.molcel.2022.04.006.txt
88,Aberrant maturation and connectivity of prefrontal cortex in schizophrenia – contribution of NMDA receptor development and hypofunction,https://doi.org/10.1038/s41380-021-01196-w,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1038_s41380-021-01196-w.txt
89,Acquisition and Analysis of DIA-Based Proteomic Data: A Comprehensive Survey in 2023,https://doi.org/10.1016/j.mcpro.2024.100712,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1016_j.mcpro.2024.100712.txt
90,Adaptation and constraint in the evolution of the mammalian backbone,https://doi.org/10.1186/s12862-018-1282-2,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.1186_s12862-018-1282-2.pdf
91,Adder and a coarse-grained approach to cell size homeostasis in bacteria,https://doi.org/10.1016/j.ceb.2016.02.004,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1016_j.ceb.2016.02.004.txt
92,Addiction to the IGF2-ID1-IGF2 circuit for maintenance of the breast cancer stem-like cells,https://doi.org/10.1038/onc.2016.293,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.1038_onc.2016.293.pdf
93,Age and Sex Effects on Plasma Metabolite Association Networks in Healthy Subjects.,https://doi.org/10.1021/acs.jproteome.7b00404,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1021_acs.jproteome.7b00404.txt
94,Agricultural intensification weakens the soil health index and stability of microbial networks,https://doi.org/10.1016/j.agee.2022.108118,no_content_found,DOI resolves but no OA PDF or abstract was found
95,Akt phosphorylates insulin receptor substrate to limit PI3K-mediated PIP3 synthesis,https://doi.org/10.7554/eLife.66942,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.7554_eLife.66942.txt
96,Algebras of open dynamical systems on the operad of wiring diagrams,https://doi.org/10.70930/tac/7tz1nkbd,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.70930_tac_7tz1nkbd.pdf
97,Alzheimer’s disease as a synaptopathy: Evidence for dysfunction of synapses during disease progression,https://doi.org/10.3389/fnsyn.2023.1129036,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.3389_fnsyn.2023.1129036.pdf
98,Alzheimer’s Disease: From Firing Instability to Homeostasis Network Collapse,https://doi.org/10.1016/j.neuron.2017.11.028,no_content_found,DOI resolves but no OA PDF or abstract was found
99,Amortized Inference for Causal Structure Learning,https://doi.org/10.48550/arXiv.2205.12934,invalid_doi,DOI does not resolve via Crossref
100,An activity-mediated transition in transcription in early postnatal neurons,https://doi.org/10.1016/j.neuron.2020.06.008,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1016_j.neuron.2020.06.008.txt
101,An atlas of protein-protein interactions across mouse tissues.,https://doi.org/10.2139/SSRN.3770938,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.2139_SSRN.3770938.txt
102,An E3 ligase network engages GCN1 to promote degradation of translation factors on stalled ribosomes,https://doi.org/10.1016/j.cell.2022.12.025,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1016_j.cell.2022.12.025.txt
103,An enhanced CRISPR repressor for targeted mammalian gene regulation,https://doi.org/10.1038/s41592-018-0048-5,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1038_s41592-018-0048-5.txt
104,An immediate–late gene expression module decodes ERK signal duration,https://doi.org/10.15252/msb.20177554,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.15252_msb.20177554.pdf
105,An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types,https://doi.org/10.1101/2020.02.29.970558,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1101_2020.02.29.970558.txt
106,An update for epilepsy research and antiepileptic drug development: Toward precise circuit therapy.,https://doi.org/10.1016/j.pharmthera.2019.05.010,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1016_j.pharmthera.2019.05.010.txt
107,Analysis of long noncoding RNA and mRNA using RNA sequencing during the differentiation of intramuscular preadipocytes in chicken,https://doi.org/10.1371/journal.pone.0172389,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.1371_journal.pone.0172389.pdf
108,Analysis of noise mechanisms in cell size control,https://doi.org/10.1101/080465,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1101_080465.txt
109,Analysis of the Human Endogenous Coregulator Complexome,https://doi.org/10.1016/j.cell.2011.05.006,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1016_j.cell.2011.05.006.txt
110,Antiageing strategy for neurodegenerative diseases: from mechanisms to clinical advances,https://doi.org/10.1038/s41392-025-02145-7,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.1038_s41392-025-02145-7.pdf
111,Antifungal Drug Resistance: Molecular Mechanisms in Candida albicans and Beyond,https://doi.org/10.1021/acs.chemrev.0c00199,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1021_acs.chemrev.0c00199.txt
112,Antioxidant mechanism of tea polyphenols and its impact on health benefits,https://doi.org/10.1016/j.aninu.2020.01.001,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1016_j.aninu.2020.01.001.txt
113,APOE4 disrupts intracellular lipid homeostasis in human iPSC-derived glia,https://doi.org/10.1126/scitranslmed.aaz4564,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1126_scitranslmed.aaz4564.txt
114,Application of network link prediction in drug discovery,https://doi.org/10.1186/s12859-021-04082-y,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.1186_s12859-021-04082-y.pdf
115,Applications of community detection techniques to brain graphs: Algorithmic considerations and implications for neural function,https://doi.org/10.1101/209429,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1101_209429.txt
116,Applications of single-cell and bulk RNA sequencing in onco-immunology.,https://doi.org/10.1016/j.ejca.2021.03.005,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1016_j.ejca.2021.03.005.txt
117,Archaeal cells share common size control with bacteria despite noisier growth and division,https://doi.org/10.1038/s41564-017-0082-6,no_content_found,DOI resolves but no OA PDF or abstract was found
118,Architecture of eukaryotic mRNA 3′-end processing machinery,https://doi.org/10.1126/science.aao6535,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1126_science.aao6535.txt
119,Architecture of gene regulatory networks controlling flower development in Arabidopsis thaliana,https://doi.org/10.1038/s41467-018-06772-3,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.1038_s41467-018-06772-3.pdf
120,Architecture of Human Mitochondrial Respiratory Megacomplex I2III2IV2.,https://doi.org/10.1016/j.cell.2017.07.050,no_content_found,DOI resolves but no OA PDF or abstract was found
121,Architecture of the human interactome defines protein communities and disease networks,https://doi.org/10.1038/nature22366,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1038_nature22366.txt
122,Assessing and improving the structural robustness of global liner shipping system: A motif-based network science approach,https://doi.org/10.1016/j.ress.2023.109576,no_content_found,DOI resolves but no OA PDF or abstract was found
123,Assessment of network module identification across complex diseases,https://doi.org/10.1038/s41592-019-0509-5,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.1038_s41592-019-0509-5.pdf
124,Astrocyte-neuron interplay is critical for Alzheimer’s disease pathogenesis and is rescued by TRPA1 channel blockade,https://doi.org/10.1101/2021.03.29.437466,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1101_2021.03.29.437466.txt
125,Astrocytes in Alzheimer’s Disease: Pathological Significance and Molecular Pathways,https://doi.org/10.3390/cells10030540,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.3390_cells10030540.txt
126,Auto-added 2026-05-22. Manual curation needed.,,missing_doi,
127,Auto-added 2026-05-22. Manual curation needed.,,missing_doi,
128,Automated engineering of synthetic metabolic pathways for efficient association to reaction rules.biomanufacturing.,https://doi.org/10.1016/j.ymben.2020.11.012,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1016_j.ymben.2020.11.012.txt
129,Autonomous dynamic control of DNA nanostructure self-assembly,https://doi.org/10.1038/s41557-019-0251-8,no_content_found,DOI resolves but no OA PDF or abstract was found
130,Autonomous rhythmic activity in glioma networks drives brain tumour growth,https://doi.org/10.1038/s41586-022-05520-4,no_content_found,DOI resolves but no OA PDF or abstract was found
